Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W
2229,NVIDIA GeForce GTX 970M,GPU,2014-10-07,28.0,65.0,398.0,5200.0,924.0,TSMC,NVIDIA,0.0,2657.0,83.04,,2014.0,13.06532663316583,0.0,40.87692307692308,1.2775384615384617
2230,ATI All-In-Wonder 9500,GPU,2002-07-01,150.0,65.0,215.0,110.0,277.0,TSMC,ATI,0.0,0.0,0.0,,2002.0,0.5116279069767442,0.0,0.0,0.0
2231,NVIDIA P102-101,GPU,2018-01-01,16.0,250.0,471.0,11800.0,1557.0,TSMC,NVIDIA,167.0,10690.0,334.0,,2018.0,25.05307855626327,0.668,42.76,1.336
2232,AMD Radeon R7 M445,GPU,2016-05-15,28.0,65.0,125.0,1550.0,780.0,TSMC,AMD,588.8,588.8,36.8,,2016.0,12.4,9.058461538461538,9.058461538461538,0.5661538461538461
2233,NVIDIA GRID M3-3020,GPU,2016-05-18,28.0,65.0,148.0,1870.0,1033.0,TSMC,NVIDIA,0.0,1672.0,52.24,,2016.0,12.635135135135135,0.0,25.723076923076924,0.8036923076923077
2234,ATI Radeon X800 GTO,GPU,2007-12-29,130.0,49.0,289.0,160.0,400.0,TSMC,ATI,0.0,0.0,0.0,medium <100,2007.0,0.5536332179930796,0.0,0.0,0.0
2235,NVIDIA GeForce 305M,GPU,2010-01-10,40.0,14.0,57.0,260.0,525.0,TSMC,NVIDIA,0.0,36.8,0.0,low<30,2010.0,4.56140350877193,0.0,2.6285714285714286,0.0
2236,ATI Mobility Radeon HD 3870 X2,GPU,2008-09-01,55.0,110.0,192.0,666.0,660.0,TSMC,ATI,0.0,422.4,84.48,high <200,2008.0,3.46875,0.0,3.84,0.768
2238,Intel HD Graphics 5300,GPU,2014-09-05,14.0,15.0,148.0,624.0,300.0,Intel,Intel,0.0,307.2,76.8,low<30,2014.0,4.216216216216216,0.0,20.48,5.12
2239,Matrox QID LP PCIe,GPU,2004-12-17,0.0,65.0,148.0,624.0,250.0,UMC,Other,0.0,0.0,0.0,,2004.0,4.216216216216216,0.0,0.0,0.0
2240,NVIDIA GeForce GTX 660 OEM,GPU,2012-08-22,28.0,130.0,294.0,3540.0,823.0,TSMC,NVIDIA,0.0,2046.0,85.25,high <200,2012.0,12.040816326530612,0.0,15.738461538461538,0.6557692307692308
