Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W,Log Transistors (million),Log FP16 GFLOPS,Log FP32 GFLOPS,Log FP64 GFLOPS
1667,AMD Sempron 2800+,CPU,2004-08-01,90.0,-0.2348099423324698,-0.8407263125590925,63.0,0.0980371924809413,Unknown,AMD,0.0,0.0,0.0,medium <100,2004.0,0.75,0.0,0.0,0.0,-1.4709167078602745,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1668,AMD Phenom II X2 B53,CPU,2009-10-01,45.0,0.0193783801698421,0.6601895675554307,758.0,1.2209663751054378,Unknown,AMD,0.0,0.0,0.0,medium <100,2009.0,2.937984496124031,0.0,0.0,0.0,0.1891814150280841,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1669,AMD Athlon II X2 255,CPU,2010-01-25,45.0,-0.1924452219154178,-0.5560698525373725,410.0,1.501698670761562,Unknown,AMD,0.0,0.0,0.0,medium <100,2010.0,3.5042735042735043,0.0,0.0,0.0,-0.222573348820758,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1670,Intel Core i3-5005U,CPU,2015-03-01,14.0,-0.8985238955329512,-0.2886652991836356,624.0,0.4723469200224402,Intel,Intel,0.0,0.0,0.0,low<30,2015.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1671,Intel Pentium 4 HT 551,CPU,2005-06-12,90.0,0.5136334517021155,-0.6250774792093047,125.0,1.782430966417686,Intel,Intel,0.0,0.0,0.0,high <200,2005.0,1.146788990825688,0.0,0.0,0.0,-1.0162080364958788,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1672,Intel Core i7-3517UE,CPU,2012-06-03,22.0,-0.8702807485882499,-0.547443899203381,624.0,0.191614624366316,Intel,Intel,0.0,0.0,0.0,low<30,2012.0,5.288135593220339,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1673,Intel Xeon E5502,CPU,2009-03-30,45.0,0.0193783801698421,0.7033193342253883,731.0,0.3469531612960381,Intel,Intel,0.0,0.0,0.0,medium <100,2009.0,2.779467680608365,0.0,0.0,0.0,0.1648676400439048,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1674,Intel Celeron G555,CPU,2012-09-01,32.0,-0.1924452219154178,-0.4353065058614914,504.0,1.1273889432200632,Intel,Intel,0.0,0.0,0.0,medium <100,2012.0,3.84732824427481,0.0,0.0,0.0,-0.0843177659974642,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1675,AMD Athlon 64 3300+,CPU,2004-04-27,130.0,0.1464725414209981,-0.3231691125196017,105.0,0.8466566475639391,Unknown,AMD,0.0,0.0,0.0,medium <100,2004.0,0.7291666666666666,0.0,0.0,0.0,-1.1322299766645452,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1676,Intel Mobile Pentium 4 2.66,CPU,2003-06-11,130.0,-0.1783236484430672,-0.4353065058614914,55.0,1.0965083906978896,Intel,Intel,0.0,0.0,0.0,medium <100,2003.0,0.4198473282442748,0.0,0.0,0.0,-1.5605505838150426,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1677,Intel Core i9-11900T,CPU,2021-03-16,14.0,-0.6160924260859378,-0.2886652991836356,624.0,0.0044597605955666,Intel,Intel,0.0,0.0,0.0,medium <100,2021.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1678,AMD Opteron 6276,CPU,2011-11-14,32.0,0.5136334517021155,1.1604948609269383,2400.0,0.7530792156785643,Unknown,AMD,0.0,0.0,0.0,high <200,2011.0,7.594936708860759,0.0,0.0,0.0,0.9622269813360248,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1679,AMD Opteron 6278,CPU,2012-05-01,32.0,0.5136334517021155,1.1604948609269383,2400.0,0.8466566475639391,Unknown,AMD,0.0,0.0,0.0,high <200,2012.0,7.594936708860759,0.0,0.0,0.0,0.9622269813360248,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1680,Intel Xeon E5-1620 v2,CPU,2013-09-01,22.0,0.7254570537873755,-0.1851538591757375,1400.0,2.06316326207381,Intel,Intel,0.0,0.0,0.0,high <200,2013.0,8.75,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1681,AMD Phenom X4 9750 (95W),CPU,2008-03-27,65.0,0.2312019822551021,0.8930903075732015,450.0,0.8466566475639391,Unknown,AMD,0.0,0.0,0.0,medium <100,2008.0,1.5789473684210529,0.0,0.0,0.0,-0.1602309465090898,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1682,AMD Mobile Athlon 64 2700+,CPU,2005-08-01,130.0,-0.6160924260859378,0.0995026008459823,106.0,0.0980371924809413,Unknown,AMD,0.0,0.0,0.0,medium <100,2005.0,0.5492227979274611,0.0,0.0,0.0,-1.1259270481529586,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1683,AMD Phenom X3 8600,CPU,2008-03-27,65.0,0.2312019822551021,0.8930903075732015,450.0,0.7530792156785643,Unknown,AMD,0.0,0.0,0.0,medium <100,2008.0,1.5789473684210529,0.0,0.0,0.0,-0.1602309465090898,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
